Region,years,products,Productivity (kg/ ha),Production (t),Area (ha) 
PT,1987,Trigo duro,1355.0,37272.0,27500.0
PT,1987,Trigo mole,1727.0,495822.0,287182.0
PT,1987,Triticale,1410.0,32000.0,22695.0
PT,1987,Uva de mesa,7702.0,60527.0,7859.0
PT,1987,Uva para vinho,5765.0,1446979.0,250979.0
PT,1987,Vinha,5824.0,1507506.0,258838.0
PT,1988,Ameixa,5173.0,14096.0,2725.0
PT,1988,Amêndoa,506.0,21212.0,41960.0
PT,1988,Arroz,4266.0,143357.0,33601.0
PT,1988,Aveia,731.0,81476.0,111422.0
PT,1988,Avelã,1161.0,1800.0,1550.0
PT,1988,Azeitona de mesa,1726.0,19850.0,11500.0
PT,1988,Azeitona para azeite,336.0,110326.0,328761.0
PT,1988,Batata,10719.0,1280086.0,119426.0
PT,1988,Batata de regadio,10971.0,892156.0,81323.0
PT,1988,Batata de sequeiro,9934.0,329975.0,33216.0
PT,1988,Beterraba,43626.0,8289.0,190.0
PT,1988,Castanha,1174.0,17648.0,15035.0
PT,1988,Centeio,834.0,86112.0,103302.0
PT,1988,Cereais para grão,1733.0,1454188.0,838894.0
PT,1988,Cereja,1493.0,5000.0,3350.0
PT,1988,Cevada,810.0,50718.0,62619.0
PT,1988,Citrinos,7847.0,194987.0,24850.0
PT,1988,Damasco,7007.0,4905.0,700.0
PT,1988,Diospiro,2971.0,4100.0,1380.0
PT,1988,Feijão,577.0,34129.0,59140.0
PT,1988,Figo,1399.0,14703.0,10506.0
PT,1988,Ginja,800.0,400.0,500.0
PT,1988,Girassol,842.0,58200.0,69136.0
PT,1988,Grão-de-bico,549.0,3445.0,6278.0
PT,1988,Laranja,8700.0,157984.0,18159.0
PT,1988,Limão,5000.0,9615.0,1923.0
PT,1988,Lúpulo,1141.0,154.0,135.0
PT,1988,Marmelo,8606.0,5000.0,581.0
PT,1988,Maçã,10000.0,241880.0,24188.0
PT,1988,Milho,3139.0,657768.0,209572.0
