;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;Total;Doméstico;Não doméstico;Indústria;Agricultura;Iluminação das vias públicas;Iluminação interior de edifícios do Estado;Outros;
;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;kWh ;
1111602: Caminha;48328902 &;27738395 &;11014192 &;3629051 &;903865 &;3131702 &;1911697 &;0 &;48036533 &;26305808 &;12923321 &;3338693 &;299185 &;3142291 &;2027235 &;0 &;48161586;26740327;12373462;3241079;314649;3404225;2087844;0;47122722;25616522;12390429;3399555;255815;3432439;2027962;0;48453387;26219550;13026022;3584190;306168;3307370;2010087;0;47559797;26136899;12312613;3224592;273518;3614827;1997348;0;47046117;26102988;11366738;3493246;270194;3718266;2094685;0;47148844;25437066;12632807;3085310;219981;3527883;2244750;1047;48381298;25349227;13675421;3973793;216968;3213129;1949197;3563;53142219;27685296;13800396;5040619;273457;3655724;2679940;6787;
1111603: Melgaço;21891542 &;11550236 &;4029597 &;2766233 &;76151 &;1700812 &;1768513 &;0 &;22292592 &;11154514 &;4680408 &;2779057 &;77160 &;1700835 &;1900618 &;0 &;22795908;11699863;4712367;2610357;81821;1864642;1826858;0;21962642;11223986;4482602;2486541;84082;1912218;1773213;0;23760523;11981065;4364092;3233561;82882;2036112;2062811;0;22374953;11584106;4280182;2279491;95355;2358749;1777070;0;22201819;11579177;4379022;2082521;94641;2380756;1685702;0;22755170;10453701;5791839;3042648;38582;2356646;1071754;0;23008559;10867062;6209139;2552838;44937;2311583;1023000;0;24276942;11391066;5940522;2517626;241384;2778494;1407850;0;
1111604: Monção;60069783 &;24363199 &;13182701 &;15850617 &;684423 &;3461795 &;2527048 &;0 &;58369506 &;23657559 &;14190180 &;14028223 &;537231 &;3483717 &;2472596 &;0 &;58840202;24058505;14201905;14023459;495577;3498539;2562217;0;55220661;22634827;13244123;12719722;521110;3542672;2558207;0;53693962;23240609;12736988;11120552;606139;3392686;2596988;0;51085503;22860503;11619341;9674828;637331;3699765;2593735;0;51083562;22622712;11810790;9913651;576232;3639313;2520864;0;51107201;22157459;13867081;8495630;1100062;2676258;2810711;0;50356568;22307278;13304154;9346455;1010081;2521717;1866883;0;55176385;23885382;13770474;10909711;596621;3753119;2261078;0;
1111605: Paredes de Coura;26185914 &;10153400 &;2986657 &;9876164 &;300857 &;1810085 &;1058751 &;0 &;26790912 &;9412302 &;3399123 &;10680063 &;271299 &;1863801 &;1164324 &;0 &;26441507;9621076;3379359;9877187;328637;1827577;1407671;0;23866047;9044163;3303336;7663997;920266;1828899;1105386;0;23225480;9552138;3237487;6457675;770905;1894294;1312981;0;21704506;9160833;3228948;5894228;658913;1802258;959326;0;20509928;9282937;3217580;4681815;547031;1731510;1049055;0;19856238;9064850;3961669;3891070;241068;1678280;1019301;0;18005668;8695501;4133124;2671024;174634;1565406;765979;0;21044243;9398074;4026422;3940214;409124;2566254;704155;0;
1111606: Ponte da Barca;25198628 &;12781878 &;6092548 &;3380679 &;90043 &;1636306 &;1217174 &;0 &;25155789 &;12218709 &;6549327 &;3297513 &;118412 &;1695546 &;1276282 &;0 &;25672703;12401991;6775721;3098014;379823;1737422;1279732;0;25020520;11793905;6875248;2849318;450863;1687283;1363903;0;26137339;12151410;6087866;4200388;438581;1734303;1524791;0;25155231;11749581;5880416;3786231;433729;1783730;1521544;0;25010931;11792363;5421845;4334903;355868;1747196;1358756;0;25059490;11304544;5896795;4498176;356148;1560379;1443448;0;24738346;11207367;6515182;3768615;201884;1511454;1533844;0;28289469;11787110;7144916;5142064;134468;1989396;2091515;0;
1111607: Ponte de Lima;107830094 &;50319628 &;24317015 &;22946743 &;1060369 &;5885290 &;3301049 &;0 &;107840679 &;47342966 &;26364373 &;23498057 &;1090959 &;5845605 &;3698719 &;0 &;108259014;47686825;26701444;22412955;1537243;6287179;3633368;0;104979671;44783631;26351047;22178254;1615929;6359232;3691578;0;103752747;46383601;25836866;19137693;1917390;6234535;4242662;0;98254643;44829197;24200803;19275461;1731155;4868693;3349334;0;96026950;44088679;23527901;18893720;1717618;4561267;3237765;0;98494868;43117121;25877018;20235101;1274403;4257102;3732801;1322;99115319;41790056;25831811;22204251;1491425;4075587;3691643;30546;106117301;44722027;24532559;24789152;1705431;5436812;4906843;24477;
1111608: Valença;50226973 &;18034849 &;11731465 &;14851519 &;1801372 &;2171714 &;1633045 &;3009 &;52080777 &;17355562 &;12523806 &;15463335 &;2227353 &;1847372 &;2663349 &;0 &;52962403;18319727;12629105;14853383;2197241;2018296;2942745;1906;49570345;18693278;12412824;12405563;1118447;2047836;2892397;0;48769032;19340555;12925412;11103135;756949;1673780;2966582;2619;49541425;18538185;12614386;12977594;734006;1869656;2804700;2898;53651044;18240527;12406865;18096281;699129;1963507;2242320;2415;55579369;16663995;18061176;15896270;291409;1983942;2682577;0;56770392;16602361;18487174;18223481;332729;1845244;1279379;24;58859208;18039428;19046835;17020805;379326;2660376;1712444;-6;
1111609: Viana do Castelo;582684694 &;116117963 &;73346224 &;374688038 &;2632830 &;10902836 &;4996803 &;0 &;590253160 &;112078661 &;78489710 &;379294948 &;5249758 &;10880576 &;4259507 &;0 &;573312943;117031279;77447741;351656088;7043776;12561810;7564397;7852;552363942;111152558;74585139;341051913;6804865;12015731;6753736;0;563499469;114834001;75529194;346440769;6961165;12529256;7188759;16325;556296970;111898310;74597816;343064322;6593601;12934287;7193968;14666;538585470;112724711;74970300;324238171;6896851;12872431;6870513;12493;541075335;103687578;87285400;321467614;1017458;12903655;14713630;0;531865260;105658436;91524793;307666214;1058004;13080888;12876925;0;552241374;113806376;114418089;289621819;2106407;14462079;17826629;-25;
1111610: Vila Nova de Cerveira;58590800 &;13002887 &;7690509 &;34281949 &;99440 &;1550262 &;1965753 &;0 &;62905345 &;12136526 &;7754264 &;39171981 &;118823 &;1454985 &;2268766 &;0 &;62692150;12322239;7971853;38302591;130711;1805971;2158785;0;57043631;11477576;8535977;32499282;610008;1772202;2148586;0;57562473;11850096;8185371;33480714;131499;1909582;2005211;0;57135364;11697559;8030040;33718295;105422;2017597;1566451;0;58316313;11656377;8165144;34827022;115586;1911608;1640576;0;56831550;11559619;7586669;33895224;157056;2003135;1629847;0;53678445;11460825;7424286;31097125;308514;2035561;1352134;0;56485021;12818020;8168818;31876917;373547;2071726;1175993;0;
112: Cávado;1369225796 &;505496750 &;371400869 &;405475121 &;14147557 &;45823993 &;26881506 &;0 &;1401815717 &;471009788 &;396912180 &;445141620 &;12997345 &;46057877 &;29696907 &;0 &;1412075237;480118659;401088545;437930106;13442312;48734770;30760845;0;1356089646;451247966;372064499;442616445;13119250;48293886;28747600;0;1361066304;469636473;374111496;425311390;12524775;47952359;31529811;0;1292748476;454821581;353991405;392432522;11310399;50029529;30163040;0;1278054761;456816205;345044183;387849366;10169417;49576292;28599298;0;1287905810;442084268;371516771;359298614;14554766;47245516;53114231;91644;1271386204;455557891;358231835;342074566;16653242;48205273;50558197;105200;1347291471;489514159;326378031;367262434;19349502;58128351;86474003;184991;
